author,hindex,productivity,TNC,ANC,UNT,PNUOT,MAX PNUOT,MEAN PNUOT,diversity,persistance
87610,19,110,1190,10.818181818181818,15,14=23=23=3=1=2=2=23=2=4=6=2=1=2=2,0.20909090909090908,7.333333333333333,0.5527272651900828,0.9696969696969697
87613,8,36,246,6.833333333333333,9,1=18=2=3=2=2=2=4=2,0.5,4.0,0.46913579074074097,0.8695652173913043
87692,12,50,409,8.18,11,12=7=1=2=7=13=2=1=1=3=1,0.26,4.545454545454546,0.4909090801090911,0.6285714285714286
87699,16,100,974,9.74,11,17=14=43=6=4=1=6=4=1=3=1,0.43,9.090909090909092,0.5836363572163636,0.8214285714285714
87735,14,105,769,7.3238095238095235,12,18=4=19=1=44=1=2=1=11=2=1=1,0.41904761904761906,8.75,0.6452380878639457,0.84375
87778,12,71,448,6.309859154929577,12,15=6=6=2=6=5=4=1=5=4=1=16,0.22535211267605634,5.916666666666667,0.393192481617404,0.37142857142857144
87780,8,44,242,5.5,14,12=1=11=1=3=1=1=2=1=3=1=5=1=1,0.2727272727272727,3.142857142857143,0.5129869966646994,0.38461538461538464
87835,14,72,645,8.958333333333334,10,8=5=1=10=38=1=1=5=2=1,0.5277777777777778,7.2,0.6194444358410496,0.8181818181818182
87888,22,45,2523,56.06666666666667,4,18=5=21=1,0.4666666666666667,11.25,0.40555555195061727,0.7857142857142857
87889,18,65,1079,16.6,13,5=22=1=2=2=2=1=21=5=1=1=1=1,0.3384615384615385,5.0,0.6082840115029587,0.8846153846153846
87891,10,64,361,5.640625,9,12=24=2=8=13=1=2=1=1,0.375,7.111111111111111,0.5416666590494792,0.875
88027,14,32,654,20.4375,5,4=3=4=20=1,0.625,6.4,0.48749999238281266,0.7777777777777778
88053,11,37,466,12.594594594594595,7,12=4=14=2=1=3=1,0.3783783783783784,5.285714285714286,0.48648647728268823,0.9642857142857143
88096,13,79,618,7.822784810126582,4,32=44=2=1,0.5569620253164557,19.75,0.5031645544143567,0.9333333333333333
88130,14,39,647,16.58974358974359,9,6=9=4=3=5=2=8=1=1,0.23076923076923078,4.333333333333333,0.35897435069033556,0.25
88147,11,40,346,8.65,9,1=4=9=19=1=2=1=2=1,0.475,4.444444444444445,0.5722222093472225,0.4
88168,5,35,121,3.4571428571428573,10,8=5=5=1=2=4=2=1=4=3,0.22857142857142856,3.5,0.3228571336326533,0.3076923076923077
88262,12,38,447,11.763157894736842,5,28=6=1=2=1,0.7368421052631579,7.6,0.6210526234072024,1.0
88315,14,38,1257,33.078947368421055,7,24=1=1=1=3=6=2,0.631578947368421,5.428571428571429,0.6090225451721412,0.75
88331,3,36,56,1.5555555555555556,13,23=1=1=1=1=1=1=1=1=2=1=1=1,0.6388888888888888,2.769230769230769,0.5854700643281111,1.0
88342,11,120,693,5.775,19,2=38=33=4=3=1=2=14=2=1=1=1=2=2=2=4=5=1=2,0.31666666666666665,6.315789473684211,0.6403508670540937,0.8666666666666667
88368,5,44,68,1.5454545454545454,7,29=5=2=1=2=4=1,0.6590909090909091,6.285714285714286,0.6103896006788668,1.0
88448,4,41,71,1.7317073170731707,6,33=1=1=4=1=1,0.8048780487804879,6.833333333333333,0.6869918598651598,1.0
88508,9,33,286,8.666666666666666,6,20=6=3=1=2=1,0.6060606060606061,5.5,0.5606060504132233,0.6923076923076923
88629,15,68,715,10.514705882352942,7,50=5=5=2=1=4=1,0.7352941176470589,9.714285714285714,0.6638655393845774,1.0
88630,13,61,816,13.37704918032787,10,1=20=4=3=1=14=11=4=1=2,0.32786885245901637,6.1,0.5229508110991671,0.9473684210526315
88635,9,38,264,6.947368421052632,9,7=17=1=1=2=2=6=1=1,0.4473684210526316,4.222222222222222,0.5438596362419208,0.8666666666666667
88747,11,34,366,10.764705882352942,5,19=2=2=9=2,0.5588235294117647,6.8,0.4823529340830451,0.8235294117647058
88819,10,57,373,6.543859649122807,14,1=13=7=9=1=2=6=6=2=1=4=2=2=1,0.22807017543859648,4.071428571428571,0.4498746756672385,0.5384615384615384
88868,11,51,418,8.196078431372548,4,9=33=7=2,0.6470588235294118,12.75,0.4656862708573626,0.9666666666666667
89035,28,73,2276,31.17808219178082,9,39=9=6=1=13=1=2=1=1,0.5342465753424658,8.11111111111111,0.6362252585183795,0.9032258064516129
89100,16,60,966,16.1,9,2=20=2=1=23=1=7=2=2,0.38333333333333336,6.666666666666667,0.574074065462963,0.8
89109,13,56,469,8.375,11,7=9=25=1=1=4=1=5=1=1=1,0.44642857142857145,5.090909090909091,0.5876623261189705,0.7142857142857143
89242,11,32,317,9.90625,7,1=8=5=12=2=2=2,0.375,4.571428571428571,0.4285714191964287,0.3793103448275862
89257,6,37,136,3.675675675675676,8,19=3=1=1=4=3=1=5,0.5135135135135135,4.625,0.523648637326516,0.8529411764705882
89287,8,67,343,5.119402985074627,14,28=2=1=1=5=6=10=1=3=2=5=1=1=1,0.417910447761194,4.785714285714286,0.5852878342519813,1.0
89328,5,30,132,4.4,7,11=3=11=1=1=2=1,0.36666666666666664,4.285714285714286,0.49523808368253985,0.9
89351,12,92,537,5.836956521739131,18,2=4=32=1=2=1=12=9=3=1=5=7=1=1=1=2=7=1,0.34782608695652173,5.111111111111111,0.5809178630303509,0.8695652173913043
89390,9,33,311,9.424242424242424,8,13=1=4=9=2=1=1=2,0.3939393939393939,4.125,0.5037878665748396,0.8518518518518519
89433,11,61,470,7.704918032786885,3,53=7=1,0.8688524590163934,20.333333333333332,0.5683060081340141,1.0
89457,8,61,298,4.885245901639344,3,51=4=6,0.8360655737704918,20.333333333333332,0.5136611996595897,1.0
89463,9,33,405,12.272727272727273,9,7=6=4=2=1=10=1=1=1,0.30303030303030304,3.6666666666666665,0.45117843887358455,0.43478260869565216
89481,13,72,673,9.347222222222221,8,6=12=19=2=2=1=29=1,0.4027777777777778,9.0,0.555555549382716,0.6538461538461539
89488,8,60,497,8.283333333333333,13,19=2=1=9=5=9=2=3=4=2=2=1=1,0.31666666666666665,4.615384615384615,0.4974358866581199,0.9166666666666666
89548,19,135,1126,8.34074074074074,15,9=8=37=31=2=8=2=8=8=12=1=2=4=2=1,0.2740740740740741,9.0,0.5372839446474623,0.8571428571428571
89688,9,49,410,8.36734693877551,8,8=20=6=3=5=5=1=1,0.40816326530612246,6.125,0.4515306048729697,0.8214285714285714
89710,18,209,1729,8.272727272727273,21,53=10=3=48=1=42=18=5=1=3=5=9=1=2=1=1=2=1=1=1=1,0.2535885167464115,9.952380952380953,0.691273631696248,1.0
89711,10,78,355,4.551282051282051,20,3=4=9=3=14=5=6=3=1=4=3=6=1=1=5=1=3=2=1=3,0.1794871794871795,3.9,0.3884615285009865,0.68
89717,7,42,245,5.833333333333333,16,1=1=8=2=1=2=13=3=1=1=4=1=1=1=1=1,0.30952380952380953,2.625,0.49702379058957,0.4
89722,21,157,1551,9.878980891719745,10,90=54=3=1=3=1=2=1=1=1,0.5732484076433121,15.7,0.7573248359406062,1.0
89724,14,73,655,8.972602739726028,13,4=4=15=11=10=2=4=8=1=1=7=5=1,0.2054794520547945,5.615384615384615,0.4109588967911429,0.5
89735,9,37,311,8.405405405405405,11,2=4=1=2=4=1=1=8=1=9=4,0.24324324324324326,3.3636363636363638,0.41769040527259477,0.3076923076923077
89742,10,70,424,6.057142857142857,5,22=21=20=6=1,0.3142857142857143,14.0,0.3257142833877551,1.0
89764,10,31,427,13.774193548387096,5,19=8=2=1=1,0.6129032258064516,6.2,0.5548387007284081,1.0
89836,9,36,337,9.36111111111111,5,29=1=4=1=1,0.8055555555555556,7.2,0.6555555464506174,1.0
89949,9,72,333,4.625,6,31=30=7=2=1=1,0.4305555555555556,12.0,0.5601851805169754,1.0
89982,20,58,2207,38.05172413793103,8,13=1=1=6=32=1=3=1,0.5517241379310345,7.25,0.6336206809155768,0.7307692307692307
90043,9,53,263,4.962264150943396,14,3=1=2=1=21=1=3=6=4=2=1=6=1=1,0.39622641509433965,3.7857142857142856,0.5350404171337032,0.6129032258064516
90044,14,48,887,18.479166666666668,7,1=32=3=4=6=1=1,0.6666666666666666,6.857142857142857,0.6309523717509923,0.8666666666666667
90050,11,112,497,4.4375,13,40=1=21=1=3=21=7=1=10=2=3=1=1,0.35714285714285715,8.615384615384615,0.6236263663878533,0.9655172413793104
90080,18,139,1761,12.66906474820144,15,1=5=7=70=22=1=19=1=1=1=1=2=4=3=1,0.5035971223021583,9.266666666666667,0.7127098244431794,0.8095238095238095
90085,3,51,54,1.0588235294117647,16,15=3=2=2=1=1=2=8=5=1=2=3=3=1=1=1,0.29411764705882354,3.1875,0.47426469100346075,1.0
90102,9,49,214,4.36734693877551,11,13=9=2=6=5=1=7=2=2=1=1,0.2653061224489796,4.454545454545454,0.44897958175760116,1.0
90215,6,30,114,3.8,5,9=2=17=1=1,0.5666666666666667,6.0,0.5333333244444446,0.7142857142857143
90236,13,67,577,8.611940298507463,11,1=1=2=26=6=2=6=14=7=1=1,0.3880597014925373,6.090909090909091,0.567164169792827,0.7241379310344828
90262,11,45,349,7.7555555555555555,10,8=3=5=15=1=3=6=1=1=2,0.3333333333333333,4.5,0.464444434123457,0.5384615384615384
90284,10,48,364,7.583333333333333,10,2=1=7=1=8=16=8=2=1=2,0.3333333333333333,4.8,0.48749998984375026,0.4375
90358,7,43,258,6.0,15,1=13=1=2=1=12=1=2=1=3=1=1=1=2=1,0.3023255813953488,2.8666666666666667,0.5240309894717873,0.9310344827586207
90395,10,40,282,7.05,7,15=5=2=2=6=6=4,0.375,5.714285714285714,0.3499999938750001,0.36666666666666664
90431,13,79,609,7.708860759493671,11,17=9=1=2=25=2=2=2=4=14=1,0.31645569620253167,7.181818181818182,0.5431530419192729,0.6774193548387096
90459,15,77,747,9.7012987012987,6,19=42=8=4=3=1,0.5454545454545454,12.833333333333334,0.5562770519424299,0.8571428571428571
90466,7,38,154,4.052631578947368,3,19=17=2,0.5,12.666666666666666,0.2982456116805171,1.0
90541,16,131,1064,8.122137404580153,21,2=4=3=10=17=18=11=12=5=6=2=1=4=4=4=10=1=2=1=9=5,0.13740458015267176,6.238095238095238,0.4260268924799034,0.6285714285714286
90548,8,79,339,4.291139240506329,10,4=58=1=7=2=3=1=1=1=1,0.7341772151898734,7.9,0.73037973759013,0.8518518518518519
90564,10,58,408,7.0344827586206895,8,3=6=22=21=2=1=2=1,0.3793103448275862,7.25,0.5603448198573128,0.9523809523809523
90566,13,78,600,7.6923076923076925,11,20=4=28=14=1=2=5=1=1=1=1,0.358974358974359,7.090909090909091,0.6083915998117269,0.5384615384615384
90631,13,62,704,11.35483870967742,4,44=16=1=1,0.7096774193548387,15.5,0.5806451575442247,1.0
90659,6,33,151,4.575757575757576,8,1=8=1=8=1=4=9=1,0.2727272727272727,4.125,0.43560605004591396,0.34615384615384615
90667,11,78,482,6.17948717948718,7,49=14=2=2=1=9=1,0.6282051282051282,11.142857142857142,0.648351642533108,1.0
90721,19,43,3147,73.18604651162791,10,4=21=5=3=1=3=2=1=1=2,0.4883720930232558,4.3,0.5279069644672798,0.9666666666666667
90737,8,51,199,3.9019607843137254,9,35=1=6=1=1=2=1=2=2,0.6862745098039216,5.666666666666667,0.671023953300013,1.0
90738,5,46,162,3.5217391304347827,13,6=1=11=3=7=5=2=3=1=2=1=3=1,0.2391304347826087,3.5384615384615383,0.41806018885415186,0.8461538461538461
90742,11,47,481,10.23404255319149,7,6=3=13=8=1=14=2,0.2978723404255319,6.714285714285714,0.4012157994955701,0.5238095238095238
90746,12,68,502,7.382352941176471,7,2=59=1=1=1=1=3,0.8676470588235294,9.714285714285714,0.75210083259392,1.0
90768,5,34,111,3.264705882352941,16,2=1=3=2=3=2=5=2=1=2=6=1=1=1=1=1,0.17647058823529413,2.125,0.33455880778546787,0.125
90779,27,161,2306,14.322981366459627,26,8=15=4=14=5=8=10=43=3=5=5=1=3=1=16=6=2=1=2=1=1=3=1=1=1=1,0.2670807453416149,6.1923076923076925,0.5769230676063068,0.7428571428571429
90823,5,44,99,2.25,4,37=5=1=1,0.8409090909090909,11.0,0.6363636305785124,1.0
90838,8,35,553,15.8,2,20=15,0.5714285714285714,17.5,0.07142857102040819,1.0
90845,6,60,127,2.1166666666666667,17,1=9=2=4=2=2=1=1=1=18=1=1=4=1=1=10=1,0.3,3.5294117647058822,0.5490195922875821,0.3333333333333333
